z_round,dcm_mpc,dcm_transverse_mpc
0.42,1620.54752266,1620.54752266
0.4201,1620.8905185,1620.8905185
0.4202,1621.23349439,1621.23349439
0.4203,1621.57645031,1621.57645031
0.4204,1621.91938627,1621.91938627
0.4205,1622.26230226,1622.26230226
0.4206,1622.6051983,1622.6051983
0.4207,1622.94807438,1622.94807438
0.4208,1623.29093049,1623.29093049
0.4209,1623.63376665,1623.63376665
0.421,1623.97658285,1623.97658285
0.4211,1624.31937909,1624.31937909
0.4212,1624.66215538,1624.66215538
0.4213,1625.00491171,1625.00491171
0.4214,1625.34764809,1625.34764809
0.4215,1625.69036451,1625.69036451
0.4216,1626.03306097,1626.03306097
0.4217,1626.37573749,1626.37573749
0.4218,1626.71839405,1626.71839405
0.4219,1627.06103066,1627.06103066
0.422,1627.40364732,1627.40364732
0.4221,1627.74624402,1627.74624402
0.4222,1628.08882078,1628.08882078
0.4223,1628.43137759,1628.43137759
0.4224,1628.77391445,1628.77391445
0.4225,1629.11643136,1629.11643136
0.4226,1629.45892833,1629.45892833
0.4227,1629.80140535,1629.80140535
0.4228,1630.14386242,1630.14386242
0.4229,1630.48629955,1630.48629955
0.423,1630.82871673,1630.82871673
0.4231,1631.17111397,1631.17111397
0.4232,1631.51349127,1631.51349127
0.4233,1631.85584862,1631.85584862
0.4234,1632.19818604,1632.19818604
0.4235,1632.54050351,1632.54050351
0.4236,1632.88280104,1632.88280104
0.4237,1633.22507863,1633.22507863
0.4238,1633.56733629,1633.56733629
0.4239,1633.909574,1633.909574
0.424,1634.25179178,1634.25179178
0.4241,1634.59398962,1634.59398962
0.4242,1634.93616752,1634.93616752
0.4243,1635.27832549,1635.27832549
0.4244,1635.62046353,1635.62046353
0.4245,1635.96258163,1635.96258163
0.4246,1636.30467979,1636.30467979
0.4247,1636.64675803,1636.64675803
0.4248,1636.98881633,1636.98881633
0.4249,1637.3308547,1637.3308547
0.425,1637.67287314,1637.67287314
0.4251,1638.01487165,1638.01487165
0.4252,1638.35685023,1638.35685023
0.4253,1638.69880888,1638.69880888
0.4254,1639.0407476,1639.0407476
0.4255,1639.3826664,1639.3826664
0.4256,1639.72456527,1639.72456527
0.4257,1640.06644421,1640.06644421
0.4258,1640.40830323,1640.40830323
0.4259,1640.75014233,1640.75014233
0.426,1641.0919615,1641.0919615
0.4261,1641.43376074,1641.43376074
0.4262,1641.77554007,1641.77554007
0.4263,1642.11729947,1642.11729947
0.4264,1642.45903895,1642.45903895
0.4265,1642.80075852,1642.80075852
0.4266,1643.14245816,1643.14245816
0.4267,1643.48413788,1643.48413788
0.4268,1643.82579769,1643.82579769
0.4269,1644.16743757,1644.16743757
0.427,1644.50905754,1644.50905754
0.4271,1644.8506576,1644.8506576
0.4272,1645.19223774,1645.19223774
0.4273,1645.53379796,1645.53379796
0.4274,1645.87533827,1645.87533827
0.4275,1646.21685867,1646.21685867
0.4276,1646.55835915,1646.55835915
0.4277,1646.89983972,1646.89983972
0.4278,1647.24130038,1647.24130038
0.4279,1647.58274113,1647.58274113
0.428,1647.92416197,1647.92416197
0.4281,1648.2655629,1648.2655629
0.4282,1648.60694392,1648.60694392
0.4283,1648.94830503,1648.94830503
0.4284,1649.28964624,1649.28964624
0.4285,1649.63096754,1649.63096754
0.4286,1649.97226893,1649.97226893
0.4287,1650.31355042,1650.31355042
0.4288,1650.65481201,1650.65481201
0.4289,1650.99605369,1650.99605369
0.429,1651.33727546,1651.33727546
0.4291,1651.67847734,1651.67847734
0.4292,1652.01965931,1652.01965931
0.4293,1652.36082139,1652.36082139
0.4294,1652.70196356,1652.70196356
0.4295,1653.04308583,1653.04308583
0.4296,1653.38418821,1653.38418821
0.4297,1653.72527068,1653.72527068
0.4298,1654.06633326,1654.06633326
0.4299,1654.40737594,1654.40737594
0.43,1654.74839873,1654.74839873
0.4301,1655.08940162,1655.08940162
0.4302,1655.43038461,1655.43038461
0.4303,1655.77134772,1655.77134772
0.4304,1656.11229092,1656.11229092
0.4305,1656.45321424,1656.45321424
0.4306,1656.79411766,1656.79411766
0.4307,1657.1350012,1657.1350012
0.4308,1657.47586484,1657.47586484
0.4309,1657.81670859,1657.81670859
0.431,1658.15753246,1658.15753246
0.4311,1658.49833643,1658.49833643
0.4312,1658.83912052,1658.83912052
0.4313,1659.17988472,1659.17988472
0.4314,1659.52062904,1659.52062904
0.4315,1659.86135347,1659.86135347
0.4316,1660.20205801,1660.20205801
0.4317,1660.54274267,1660.54274267
0.4318,1660.88340745,1660.88340745
0.4319,1661.22405234,1661.22405234
0.432,1661.56467735,1661.56467735
0.4321,1661.90528248,1661.90528248
